epoch,total_epochs,step,steps_per_epoch,global_step,lr,time_val,time_avg,loss_val,loss_avg,grad_val,grad_avg,mem_mb,num_ranks_used
5,100,300,823,4415,0.002432,1.4467,1.4485,0.36729999999999996,0.3565,0.1255,0.1291,18757.0,2
5,100,400,823,4515,0.002487,1.4480499999999998,1.4484,0.35705,0.35609999999999997,0.1841,0.1292,18757.0,2
5,100,500,823,4615,0.002542,1.4504,1.4486,0.36295,0.35609999999999997,0.1316,0.13,18757.0,2
5,100,600,823,4715,0.002597,1.4454,1.4485,0.36975,0.35624999999999996,0.1451,0.1313,18757.0,2
5,100,700,823,4815,0.002652,1.447,1.4482,0.33965,0.35624999999999996,0.1737,0.1295,18757.0,2
5,100,800,823,4915,0.002707,1.4471500000000002,1.4479,0.36319999999999997,0.35605,0.1215,0.1287,18757.0,2
6,100,0,823,4938,0.00272,1.9563000000000001,1.9563000000000001,0.35365,0.35365,0.1258,0.1258,18757.0,2
6,100,100,823,5038,0.002775,1.44855,1.4518,0.3512,0.35525,0.0816,0.1349,18757.0,2
6,100,200,823,5138,0.00283,1.4475500000000001,1.4494,0.3791,0.35509999999999997,0.1302,0.152,18757.0,2
6,100,300,823,5238,0.002885,1.4471500000000002,1.4485,0.35614999999999997,0.35505,0.134,0.1527,18757.0,2
6,100,400,823,5338,0.00294,1.4461499999999998,1.4482,0.35495,0.35514999999999997,0.0874,0.1439,18757.0,2
6,100,500,823,5438,0.002995,1.4484,1.4481,0.35455000000000003,0.35505,0.092,0.1419,18757.0,2
6,100,600,823,5538,0.00305,1.44855,1.4481,0.34845000000000004,0.3546,0.3024,0.1388,18757.0,2
6,100,700,823,5638,0.003105,1.4482,1.4481,0.34645000000000004,0.3539,0.1827,0.1382,18757.0,2
6,100,800,823,5738,0.00316,1.44665,1.4479,0.3466,0.3537,0.1117,0.1377,18757.0,2
7,100,0,823,5761,0.003173,1.9647000000000001,1.9647000000000001,0.33895,0.33895,0.0881,0.0881,18757.0,2
7,100,100,823,5861,0.003228,1.4494500000000001,1.45465,0.3473,0.35,0.0892,0.1109,18757.0,2
7,100,200,823,5961,0.003283,1.44475,1.45125,0.3513,0.35,0.0803,0.1136,18757.0,2
7,100,300,823,6061,0.003338,1.4474,1.4498,0.3588,0.35025,0.083,0.1201,18757.0,2
7,100,400,823,6161,0.003393,1.44855,1.4494,0.35109999999999997,0.3506,0.0736,0.1181,18757.0,2
7,100,500,823,6261,0.003448,1.4477,1.449,0.3469,0.35055000000000003,0.0918,0.1248,18757.0,2
7,100,600,823,6361,0.003503,1.4478499999999999,1.4488,0.36260000000000003,0.3509,0.1367,0.1239,18757.0,2
7,100,700,823,6461,0.003558,1.4453,1.4484,0.35019999999999996,0.35140000000000005,0.1595,0.1211,18757.0,2
7,100,800,823,6561,0.003613,1.4461,1.4482,0.33304999999999996,0.35150000000000003,0.0743,0.1183,18757.0,2
8,100,0,823,6584,0.003626,1.9292,1.9292,0.35705,0.35705,0.0808,0.0808,18757.0,2
8,100,100,823,6684,0.003681,1.448,1.4517,0.3463,0.34985,0.1074,0.0998,18757.0,2
8,100,200,823,6784,0.003736,1.4443,1.4494,0.35755000000000003,0.3494,0.0866,0.104,18757.0,2
8,100,300,823,6884,0.003791,1.4438,1.448,0.3459,0.35065,0.1178,0.1025,18757.0,2
8,100,400,823,6984,0.003846,1.4453,1.447,0.36675,0.3506,0.0864,0.1005,18757.0,2
8,100,500,823,7084,0.003901,1.4457,1.4467,0.33125000000000004,0.35045,0.1159,0.1001,18757.0,2
8,100,600,823,7184,0.003956,1.44475,1.4465,0.35214999999999996,0.35014999999999996,0.0866,0.0993,18757.0,2
8,100,700,823,7284,0.004011,1.4461499999999998,1.4464,0.3406,0.35,0.0942,0.0981,18757.0,2
8,100,800,823,7384,0.004066,1.4478,1.4466,0.35445,0.3498,0.107,0.0977,18757.0,2
9,100,0,823,7407,0.004079,1.90915,1.90915,0.3558,0.3558,0.0876,0.0876,18757.0,2
9,100,100,823,7507,0.004134,1.45075,1.45275,0.35705,0.34750000000000003,1.5697,0.1055,18757.0,2
9,100,200,823,7607,0.004189,1.4493,1.4511500000000002,0.34735,0.34904999999999997,0.1232,0.1029,18757.0,2
9,100,300,823,7707,0.004244,1.4483,1.45025,0.3472,0.34924999999999995,0.0536,0.1028,18757.0,2
9,100,400,823,7807,0.004299,1.4488,1.4499,0.36050000000000004,0.34955,0.0784,0.0988,18757.0,2
9,100,500,823,7907,0.004354,1.4493,1.4497,0.35445000000000004,0.34940000000000004,0.1264,0.0971,18757.0,2
9,100,600,823,8007,0.004409,1.4496,1.4497,0.3468,0.34945000000000004,0.076,0.0978,18757.0,2
9,100,700,823,8107,0.004464,1.451,1.4496,0.35824999999999996,0.35,0.0524,0.1005,18757.0,2
9,100,800,823,8207,0.004519,1.4502,1.4497,0.35860000000000003,0.34995,0.1148,0.0995,18757.0,2
10,100,0,823,8230,0.004532,1.98335,1.98335,0.34704999999999997,0.34704999999999997,0.0801,0.0801,18757.0,2
10,100,100,823,8330,0.004587,1.44985,1.4556,0.357,0.34995,0.0888,0.0949,18757.0,2
10,100,200,823,8430,0.004642,1.4494,1.4528,0.35014999999999996,0.3503,0.1524,0.0984,18757.0,2
10,100,300,823,8530,0.004697,1.4472,1.4512,0.35195,0.35109999999999997,0.0951,0.0999,18757.0,2
10,100,400,823,8630,0.004752,1.44835,1.4505,0.36675,0.35095,0.0724,0.1001,18757.0,2
10,100,500,823,8730,0.004807,1.4478,1.4499,0.3555,0.35125,0.1027,0.0992,18757.0,2
10,100,600,823,8830,0.004862,1.4482499999999998,1.4498,0.3438,0.35095,0.0523,0.1005,18757.0,2
10,100,700,823,8930,0.004917,1.44775,1.4495,0.35965,0.35124999999999995,0.0617,0.098,18757.0,2
10,100,800,823,9030,0.004973,1.4488500000000002,1.4492,0.3452,0.35105,0.0756,0.0957,18757.0,2
11,100,0,823,9053,0.004985,1.90655,1.90655,0.36005,0.36005,0.0524,0.0524,18757.0,2
11,100,100,823,9153,0.00504,1.4497499999999999,1.4514,0.3461,0.3497,0.1326,0.0796,18757.0,2
11,100,200,823,9253,0.005095,1.444,1.4489,0.3587,0.35014999999999996,0.0627,0.081,18757.0,2
11,100,300,823,9353,0.00515,1.4459499999999998,1.4474,0.34175,0.34975,0.0618,0.0792,18757.0,2
11,100,400,823,9453,0.005205,1.446,1.4468,0.35905,0.34995,0.0643,0.079,18757.0,2
11,100,500,823,9553,0.00526,1.4452500000000001,1.4465,0.34225,0.34975,0.0938,0.0783,18757.0,2
11,100,600,823,9653,0.005315,1.4473,1.4462,0.34445000000000003,0.34985,0.0723,0.0786,18757.0,2
11,100,700,823,9753,0.005371,1.4499,1.4463,0.35785,0.34975,0.1651,0.0804,18757.0,2
11,100,800,823,9853,0.005426,1.4475500000000001,1.4465,0.3678,0.3497,0.088,0.0803,18757.0,2
12,100,0,823,9876,0.005438,1.9226999999999999,1.9226999999999999,0.34715,0.34715,0.0511,0.0511,18757.0,2
12,100,100,823,9976,0.005493,1.4464,1.4515,0.3437,0.34775,0.0657,0.0827,18757.0,2
12,100,200,823,10076,0.005548,1.4474,1.4497,0.35135,0.34785,0.1291,0.0914,18757.0,2
12,100,300,823,10176,0.005603,1.4486500000000002,1.4491,0.35805,0.3494,0.0984,0.088,18757.0,2
12,100,400,823,10276,0.005658,1.44815,1.4489,0.35885,0.3497,0.0656,0.0828,18757.0,2
12,100,500,823,10376,0.005713,1.4484499999999998,1.4487,0.35185,0.34955,0.0929,0.0804,18757.0,2
12,100,600,823,10476,0.005769,1.44665,1.4485,0.3416,0.34955,0.0628,0.0806,18757.0,2
12,100,700,823,10576,0.005824,1.4444,1.4481,0.35819999999999996,0.3498,0.0749,0.0818,18757.0,2
12,100,800,823,10676,0.005879,1.4433,1.4475,0.35045000000000004,0.3499,0.0498,0.081,18757.0,2
13,100,0,823,10699,0.005891,1.9079000000000002,1.9079000000000002,0.34750000000000003,0.34750000000000003,0.4358,0.4358,18757.0,2
13,100,100,823,10799,0.005946,1.44645,1.4498,0.3631,0.35045,0.072,0.0785,18757.0,2
13,100,200,823,10899,0.006001,1.444,1.448,0.36129999999999995,0.35075,0.0986,0.0928,18757.0,2
13,100,300,823,10999,0.006056,1.44605,1.4471,0.3416,0.3506,0.0784,0.0905,18757.0,2
13,100,400,823,11099,0.006111,1.44565,1.4467,0.34909999999999997,0.35065,0.0764,0.0866,18757.0,2
13,100,500,823,11199,0.006166,1.4389,1.4461,0.35205,0.35045,0.0436,0.0877,18757.0,2
13,100,600,823,11299,0.006222,1.43805,1.4449,0.347,0.35095,0.0686,0.0856,18757.0,2
13,100,700,823,11399,0.006277,1.43975,1.4441,0.35965,0.3508,0.0658,0.083,18757.0,2
13,100,800,823,11499,0.006332,1.4414500000000001,1.4438,0.34445000000000003,0.35065,0.0464,0.0816,18757.0,2
14,100,0,823,11522,0.006344,1.90415,1.90415,0.3594,0.3594,0.0615,0.0615,18757.0,2
14,100,100,823,11622,0.006399,1.4421499999999998,1.4459,0.3598,0.3499,0.0698,0.0748,18757.0,2
14,100,200,823,11722,0.006454,1.4438,1.4443,0.34945000000000004,0.35015,0.0418,0.0721,18757.0,2
14,100,300,823,11822,0.006509,1.4404,1.4438,0.3449,0.3506,0.0762,0.0761,18757.0,2
14,100,400,823,11922,0.006564,1.4411,1.44305,0.36175,0.3504,0.0463,0.0768,18757.0,2
14,100,500,823,12022,0.00662,1.4414500000000001,1.4427,0.37065000000000003,0.35040000000000004,0.0968,0.0757,18757.0,2
14,100,600,823,12122,0.006675,1.4396499999999999,1.4423,0.34340000000000004,0.35009999999999997,0.0637,0.0737,18757.0,2
14,100,700,823,12222,0.00673,1.43955,1.442,0.34204999999999997,0.3499,0.078,0.0726,18757.0,2
14,100,800,823,12322,0.006785,1.44015,1.4417,0.3512,0.34940000000000004,0.0394,0.072,18757.0,2
15,100,0,823,12345,0.006797,1.93605,1.93605,0.3469,0.3469,0.036,0.036,18757.0,2
15,100,100,823,12445,0.006852,1.4393,1.4449,0.3463,0.34819999999999995,0.0446,0.0674,18757.0,2
15,100,200,823,12545,0.006907,1.441,1.4432,0.3403,0.34855,0.0422,0.0655,18757.0,2
15,100,300,823,12645,0.006962,1.4433,1.4431,0.3443,0.3479,0.0564,0.0646,18757.0,2
15,100,400,823,12745,0.007018,1.4450500000000002,1.44325,0.3558,0.34804999999999997,0.0426,0.0629,18757.0,2
