epoch,total_epochs,step,steps_per_epoch,global_step,lr,time_val,time_avg,loss_val,loss_avg,grad_val,grad_avg,mem_mb,num_ranks_used
5,100,400,823,4515,0.000399,1.4573,1.4588,0.8385499999999999,0.83775,0.0338,0.047,18670.0,2
5,100,500,823,4615,0.000408,1.4587,1.4585,0.8326,0.8376,0.0356,0.0461,18670.0,2
5,100,600,823,4715,0.000417,1.4557,1.4583,0.84205,0.8376,0.0936,0.0483,18670.0,2
5,100,700,823,4815,0.000426,1.4572,1.458,0.8358000000000001,0.83755,0.1039,0.0503,18670.0,2
5,100,800,823,4915,0.000434,1.4557,1.4578,0.8392,0.83775,0.0116,0.056,18670.0,2
6,100,0,823,4938,0.000436,2.5641,2.5641,0.83985,0.83985,0.0201,0.0201,18670.0,2
6,100,100,823,5038,0.000445,1.4556,1.4661,0.85505,0.8409,0.2016,0.0736,18670.0,2
6,100,200,823,5138,0.000454,1.4553,1.4609,0.83925,0.8403,0.0137,0.0646,18670.0,2
6,100,300,823,5238,0.000463,1.4564,1.4593,0.84415,0.84015,0.0409,0.0509,18670.0,2
6,100,400,823,5338,0.000472,1.4558,1.45855,0.8429500000000001,0.8398,0.0148,0.044,18670.0,2
6,100,500,823,5438,0.00048,1.4569,1.45815,0.83945,0.83955,0.023,0.0405,18670.0,2
6,100,600,823,5538,0.000489,1.45785,1.4580000000000002,0.84395,0.83945,0.0618,0.0401,18670.0,2
6,100,700,823,5638,0.000498,1.4575,1.4578000000000002,0.8357,0.83945,0.0392,0.0393,18670.0,2
6,100,800,823,5738,0.000507,1.4601,1.45795,0.8472,0.8394,0.0592,0.0412,18670.0,2
7,100,0,823,5761,0.000509,2.0736499999999998,2.0736499999999998,0.84195,0.84195,0.1351,0.1351,18670.0,2
7,100,100,823,5861,0.000517,1.4582,1.4644,0.8418000000000001,0.83875,0.0275,0.0522,18670.0,2
7,100,200,823,5961,0.000526,1.4569,1.4609,0.83975,0.8391,0.8022,0.1288,18670.0,2
7,100,300,823,6061,0.000535,1.4555500000000001,1.4595,0.8391,0.83905,0.0181,0.0976,18670.0,2
7,100,400,823,6161,0.000544,1.4551,1.4586,0.845,0.8392,0.0213,0.0811,18670.0,2
7,100,500,823,6261,0.000552,1.4563,1.458,0.8352999999999999,0.83915,0.0145,0.0707,18670.0,2
7,100,600,823,6361,0.000561,1.4575,1.4577,0.8385499999999999,0.83915,0.0425,0.0633,18670.0,2
7,100,700,823,6461,0.00057,1.4565,1.4575,0.8327,0.8391500000000001,0.012,0.0596,18670.0,2
7,100,800,823,6561,0.000579,1.4562,1.4573,0.8362499999999999,0.83905,0.033,0.0583,18670.0,2
8,100,0,823,6584,0.000581,1.9984000000000002,1.9984000000000002,0.83645,0.83645,0.0409,0.0409,18670.0,2
8,100,100,823,6684,0.000589,1.4567,1.462,0.8366,0.8393,0.0133,0.0396,18670.0,2
8,100,200,823,6784,0.000598,1.45735,1.4598,0.83755,0.8391,0.0235,0.0396,18670.0,2
8,100,300,823,6884,0.000607,1.4574,1.45905,0.8424,0.8388,2.9559,0.0618,18670.0,2
8,100,400,823,6984,0.000616,1.45735,1.4587,0.8336,0.8387,0.041,0.097,18670.0,2
8,100,500,823,7084,0.000625,1.4575,1.4584,0.8446499999999999,0.83845,0.1235,0.0882,18670.0,2
8,100,600,823,7184,0.000633,1.4568500000000002,1.4581,0.839,0.8383,0.0541,0.0867,18670.0,2
8,100,700,823,7284,0.000642,1.4581,1.4579,0.85585,0.8377,1403.8081,3.3416,18670.0,2
8,100,800,823,7384,0.000651,1.4591,1.4578,0.84545,0.83815,0.0203,3.1775,18670.0,2
9,100,0,823,7407,0.000653,1.9922,1.9922,0.83465,0.83465,0.0498,0.0498,18670.0,2
